༄༅། །རྒྱ་གར་སྐད་དུ། མཱ་ཡཱ་ཛཱ་ལཾ་ནཱ་མ་མ་ཧཱ་སཱུ་ཏྲཾ། བོད་སྐད་དུ།
མདོ་ཆེན་པོ་སྒྱུ་མའི་དྲ་བ་ཞེས་བྱ་བ། དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Mahāsūtra “Illusion’s Net” Homage to the Three Jewels.
གང་འདི་ལྟར་སྣང་བའི་ནོར་བུ་དག་གམ། རྣ་ཆ་གདུབ་ཀོར་དག་གམ། མགུལ་རྒྱན་དག་གམ། གདུ་བུ་རྒྱན་ཅན་དག་གམ། དཔུང་རྒྱན་དག་གམ། ལག་རྒྱན་དག་གམ། རྐང་རྒྱན་དག་གམ། སོར་གདུབ་རྒྱན་དག་གམ། གསེར་དང་དངུལ་གྱི་ཕྲེང་བ་འདི་དག་ནི་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་ཡོད་པ་མ་ཡིན་ཏེ། ||| “Beings whose disposition is insightful instead of childish or deluded think, ‘There are no jewels, earrings, necklaces, bracelets, armlets, hand ornaments, anklets, rings, and gold and silver garlands that are visible in this way, real and present there.
གྱི་ན་སྒྱུ་མར་བྱས་པ་འདི་འབའ་ཞིག་ཡོད་དོ། །མིག་སླུ་བར་བྱེད་པ་འདི་འབའ་ཞིག་ཡོད་དོ་སྙམ་དུ་སེམས་སོ། ། ||| They are only a magic trick, just a visual illusion.’
དགེ་སློང་དག་དེ་བཞིན་དུ་འཕགས་པ་ཉན་ཐོས་ཐོས་པ་དང་ལྡན་པ་ཡང་བདག་གིས་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་ཆོས་གང་དག་ཡིན་པ་འདི་དག་ལ། རྟག་པ་ཉིད་དམ། བརྟན་པ་ཉིད་དམ། ཐེར་ཟུག་ཉིད་དམ། དེ་བཞིན་ཉིད་དམ། མ་ནོར་བ་དེ་བཞིན་ཉིད་དམ། གཞན་མ་ཡིན་པ་དེ་བཞིན་དམ། ཡང་དག་པ་ཉིད་དམ། བདེན་པ་ཉིད་དམ། དེ་ཁོ་ན་ཉིད་དམ། ཇི་ལྟ་བ་བཞིན་ཉིད་དམ། ||| “Monks, in the same way, noble hearers who are learned think, ‘All of the past, future, and present phenomena perceived by my mind lack permanence, stability, unchangeability, a true nature, an unmistaken true nature, a unique true nature, genuine reality, truth, suchness, a way things really are, infallibility, and incontrovertibility.
མ་ནོར་བ་ཉིད་དམ། ཕྱིན་ཅི་མ་ལོག་པ་ཉིད་མེད་དེ། གསོག་ཀྱང་དེ་ཉིད་ཡིན་ལ། ||| They are hollow.
གསོབ་ཀྱང་དེ་ཉིད་ཡིན། ||| They are vain.
སྙིང་པོ་མེད་པ་ཡང་དེ་ཉིད་ཡིན། ||| They have no essence.
བརྫུན་པ་ཡང་དེ་ཉིད་ཡིན། ||| They are false.
སླུ་བའི་ཆོས་ཀྱང་དེ་ཉིད་ཡིན། ||| They are deceptive phenomena.
བདུད་ཀྱང་དེ་ཉིད་ཡིན། ||| They are Māra.
བདུད་ཀྱི་ཡོ་བྱད་ཀྱང་དེ་ཉིད་ཡིན། ||| They are Māra’s tools.
རོ་ཡང་དེ་ཉིད་ཡིན། ||| They are corpses.
རོའི་གཟུགས་ཀྱང་དེ་ཉིད་ཡིན་པས་དེ་ལ་ནི་མངོན་པར་དགའ་བར་བྱ་བའམ། མངོན་པར་བརྗོད་པར་བྱ་བའམ། ||| They are corpse-like forms.
ལྷག་པར་ཆགས་པར་བྱ་བའམ། ལྷག་པར་ཆགས་ཤིང་གནས་པར་བྱ་བར་མི་རིགས་ཀྱི། ||| Therefore, it does not make sense to delight in them, speak highly of them, and become and remain excessively attached to them.
བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་འཕགས་པ་འཇིག་རྟེན་ལས་འདས་པ་ནི་བདེན་ནོ་ཞེས་དེ་ལྟར་སོ་སོར་རྟོག་པར་བྱེད་དོ། ། ||| The noble, supramundane wisdom taught by the Blessed One is true.’ That is how they conduct a thorough analysis.
དེས་དེ་ལྟར་ཤེས་ནས་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་ཆོས་རྣམས་ནད་དུ་ཡང་དག་པར་རྗེས་སུ་མཐོང་། འབྲས་དང་། ཟུག་རྔུ་དང་། ||| “Having understood that, they correctly see all phenomena perceived by their mind in the past, future, and present as a sickness.
སྡིག་པ་དང་། མི་རྟག་པ་དང་། སྡུག་བསྔལ་བ་དང་། སྟོང་པ་དང་། བདག་མེད་པར་ཡང་དག་པར་རྗེས་སུ་མཐོང་ངོ་། །དེས་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་ཆོས་རྣམས་ནད་དུ་ཡང་དག་པར་རྗེས་སུ་མཐོང་ཞིང་། འབྲས་དང་། ཟུག་རྔུ་དང་། ||| They correctly see them as a cancer, a splinter, a scorpion’s sting, impermanent, suffering, empty, and lacking a self.
སྡིག་པ་དང་། མི་རྟག་པ་དང་། སྡུག་བསྔལ་བ་དང་། སྟོང་པ་དང་། བདག་མེད་པར་ཡང་དག་པར་རྗེས་སུ་མཐོང་བ་ན། དེའི་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་ཆོས་དག་ལ་ལོག་པར་མོས་པའམ། འདུ་ཤེས་ཕྱིན་ཅི་ལོག་གམ། སེམས་ཕྱིན་ཅི་ལོག་གམ། ལྟ་བ་ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པ་འདི་ལྟ་སྟེ། བརྣབ་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། གནོད་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། ཚུལ་ཁྲིམས་དང་བརྟུལ་ཞུགས་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་དང་། འདི་བདེན་ནོ་སྙམ་དུ་མངོན་པར་ཞེན་ཅིང་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་གང་དག་ཡིན་པ་དེ་དག་སྤོང་བར་བྱེད་དོ། ། ||| “When they correctly see all of the phenomena perceived by their mind in the past, future, and present as a sickness, and they correctly see them as a cancer, as a splinter, as a scorpion’s sting, as impermanent, suffering, empty, and lacking a self, they then abandon mistaken beliefs, wrong ideas, incorrect thoughts, and incorrect views regarding past, future, and present phenomena perceived by the mind, the psychophysical bonds of covetousness, malice, a sense of moral and ascetic supremacy, and thinking, ‘This is the truth,’ and clinging to it as real.
དེ་དག་སྤངས་པའི་ཕྱིར་བདུད་ལྡོངས་པ་དང་། ཡི་ཆད་པ་དང་། ཕྱོགས་མེད་པར་བྱས་ཏེ་གནས་ཤིང་། ||| “By abandoning those bonds, they render Māra blind, depressed, and disoriented and stand their ground.
བདུད་སྡིག་ཅན་གྱིས་མི་མཐོང་བར་སོང་ནས་བདུད་དང་། བདུད་ཀྱི་འཁོར་བཅོམ་ཞིང་། གཡུལ་ཆེན་པོའི་གཡུལ་སྤྲད་དེ། ||| Since evil Māra can no longer see them, they destroy Māra and his retinue and wage battle against his great army.
གཡུལ་ལས་རྣམ་པར་རྒྱལ་བ་དང་། གཡུལ་ངོ་དེ་ཉིད་མངོན་པར་ཕམ་པར་བྱས་ཤིང་གནས་ཏེ། ||| They are victorious in battle, destroy the army, and stand their ground.
དེ་ལྟར་ན་འདི་ལ་འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་སྦྱོར་བར་རྗེས་སུ་ཞུགས་པ་ལ་གནས་པ་ནི་ཤེས་རབ་ཀྱིས་འཚོ་བ་རྣམས་ཀྱི་ནང་ན་བླ་ན་མེད་པས་འཚོ་བ་ཡིན་ནོ། ། ||| This is how noble hearers who remain engaged in practicing superior wisdom are supported by wisdom, which among all supports is unsurpassed.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། དགེ་སློང་དེ་དག་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །།བར་སྡོམ་ནི། ། ||| After the Blessed One had spoken, the monks rejoiced and praised the words of the Blessed One.
སྨྱོན་པ་དང་ནི་སྒྱུ་མ་དང་། །ར་རོ་བ་དང་སྒྲ་བརྙན་དང་། །གཤེད་མ་དང་ནི་མེ་ལོང་དང་། །ཟས་སྦྱིན་པ་དང་སྨིག་རྒྱུ་དང་། །རྐུན་པོས་གཙེས་པ་གྲོང་ནས་དང་། །རྨི་ལམ་དགའ་སྤྱོད་ཟ་མ་ཏོག །ནོར་བུ་དཔུང་རྒྱན་རྣམ་དག་ནི། ། ||| An intervening summary: The madman, the magical illusion, The drunk, the echo, The executioner, the mirror, The food offering, the mirage, Fleeing a robber’s attack, Enjoyments in a dream, the chest, And the jewels and necklaces— Under these is illusion’s net subsumed.
སྒྱུ་མའི་དྲ་བ་ཀུན་བསྡུས་པའོ། །མདོ་ཆེན་པོ་སྒྱུ་མའི་དྲ་བ་ཞེས་བྱ་བ་རྫོགས་སོ།། །། ||| This concludes The Mahāsūtra “Illusion’s Net.”
རྒྱ་གར་གྱི་མཁན་པོ་ཛི་ན་མི་ཏྲ་དང་། པྲཛྙཱ་ཝརྨ་དང་། ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེ་ལ་སོགས་པས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།། །། ||| This was translated, edited, and finalized by the Indian preceptors Jinamitra and Prajñāvarman, along with the chief editor and translator Bandé Yeshé Dé, and so forth.
