འཕགས་པ་དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ། ||| The Noble Application of Mindfulness of the Sacred Dharma
།འཆི་བའི་ཡུལ་དང་དུས་རྣམས་སུ་ནི་ལས་ཉིད་ཁོ་ན་གནས་སྐབས་རྣམས་ཐམས་ཅད་དུ་ཡོངས་སུ་སྐྱོབ་པར་བྱེད་པ་ཡིན་ནོ། ||| At the time and place of one’s death, it is on all occasions only karmic actions that provide protection.
།སྐྱེ་བ་གཞན་དག་བརྒྱ་སྟོང་དུ་མ་རྣམས་སུ་ཡང་ལས་ཉིད་སྐྱབས་སུ་འགྱུར་ཏེ། རྣམ་པ་ཐམས་ཅད་ཀྱི་ཐམས་ཅད་དུ་གཉེན་བཤེས་རྣམས་བཞིན་དུ་འགྱུར་རོ། ||| Throughout hundreds of thousands of lives, karmic action is indeed the real refuge—friends and family are invariably only a semblance of that.
།གཉེན་བཤེས་རྣམས་ཀྱིས་མ་ཡིན་ཞིང་རྩད་འབྲེལ་རྣམས་སམ་གཞན་དག་རྣམས་ཀྱིས་ཀྱང་མ་ཡིན་ནོ། ||| Friends and family are no refuge, nor are close relations, or anyone else.
།གཉེན་བཤེས་རྣམས་གང་འགའ་ཞིག་གིས་ཀྱང་སྐྱོབ་པར་བྱེད་པ་མ་ཡིན་པས་གཅིག་ཏུ་མངོན་པར་དགའ་ཞིང་། གཉེན་བཤེས་ཀྱི་དབང་དུ་བྱ་བའམ་རང་གི་སྐྱེ་བོ་རྣམས་ཀྱི་དབང་དུ་བྱས་ནས་དེ་ལྟར་དཔྱོད་པར་བྱེད་དོ། ||| No friend or relation can offer protection, yet people think they can, and thus they become obsessed with their friends and family and come under their control.
།དེའི་ཕྱིར་ན་ཀུན་ནས་ཉོན་མོངས་པ་ཅན་གྱི་ཆོས་གཞན་འདི་ནི་གཅིག་པུ་མངོན་པར་དགའ་བའི་དགེ་སློང་གིས་རབ་ཏུ་གཞོམ་པར་བྱ་བ་ཡིན་ནོ། ||| Therefore, this is another factor of affliction that must be overcome by monks who delight wholeheartedly in solitude.
།འཆི་བའི་ཡུལ་དང་དུས་རྣམས་སམ་ན་བའི་དུས་དང་རྒས་པའི་དུས་ན་ཡང་འགའ་ཞིག་ཀྱང་འགའ་ཞིག་ལ་ཅུང་ཟད་ཀྱང་མི་བྱེད་དོ། ||| “ ‘At the time and place of one’s death, or at the time of disease or aging, no one will be of any use at all.
།ཡོངས་སུ་སྐྱོབ་པར་བྱེད་པ་ནི་སུ་དག་ཀྱང་མ་ཡིན་ནོ་ཞེས་དེ་ལྟར་སེམས་པར་བྱེད་དོ། ||| There is no one to protect you—that is what one needs to keep in mind.
།དགེ་སློང་འདིའི་རང་གི་སྐྱེ་བོ་རྣམས་ཀྱིས་བྱས་པའི་བརྩེ་གདུང་གང་ཡིན་པ་འདི་ལས་དེ་དག་རྣམས་ཐམས་ཅད་དུ་ཉམས་པར་འགྱུར་བའམ་མགོ་སྨད་པར་འགྱུར་རོ། ||| The yearning affection that a monk may feel for his own people will always be a factor that leads to failure and despair.
།དེ་ལྟར་དགེ་སློང་གཉེན་བཤེས་ལ་ཕྲད་པའི་བརྩེ་གདུང་རྣམས་ནི་བྱེས་སུ་འགྲོ་བས་རབ་ཏུ་འབྲལ་བར་འགྱུར་རོ། ||| Monks who long to meet their dear friends and family should therefore free themselves from such longing by staying in foreign lands. (8) Meaningless Talk Is Remedied by Proper Verbal Restraint
།གཞན་ཡང་ཀུན་ནས་ཉོན་མོངས་པ་ཅན་གྱི་ཆོས་ངེས་པར་འབྱུང་བས་རབ་ཏུ་གཞོམ་པར་བྱའོ། ||| “ ‘There is also another factor of affliction that must be overcome by those who have set forth.
།འདི་ཡང་གང་ཞེ་ན། འདི་ལྟ་སྟེ་དོན་མེད་པར་སྨྲ་བ་སྟེ། ||| What is that? Meaningless talk.
ཁྱིམ་པ་ཡིན་ཡང་རུང་གང་དང་གང་སྐྱེ་བོ་ཐམས་ཅད་ཀྱང་རྩྭ་དང་འདྲ་བ་ཁོ་ནར་འགྱུར་རོ། ||| Even if one is a householder, meaningless talk will make one as worthless as grass.
།འདི་ལྟ་སྟེ་གང་གི་ཕྱིར་ངག་གི་ཚིག་རྣམས་ནི་ནོར་ཡིན་གྱི་ནོར་གཞན་ནི་ཐ་མ་ཡིན་ནོ། ||| That is because words are wealth; other riches are deeply inferior.
།སྐྱེས་བུ་རྣམས་ནི་ངག་གིས་སྙིང་པོ་ཅན་དུ་འགྱུར་རོ། ||| People become successful by means of their speech.
།དེ་དང་རྣམ་པར་བྲལ་བ་ནི་སྙིང་པོ་མེད་པ་དང་ནོར་དང་ཀུན་ནས་བྲལ་བར་འགྱུར་ཏེ། ||| Those who lack meaningful speech are unsuccessful and will lose any wealth they may have.
གསོག་གསོབ་སྙིང་པོ་མེད་པ་ཕྱུགས་རྣམས་དང་མཚུངས་པར་འགྱུར་རོ། ||| Such people are hollow, false, of no substance, and just like cattle.
།ངག་གི་ནོར་རྣམས་དང་བྲལ་བ་ངག་དང་བྲལ་བའི་སྐྱེ་བོ་རྣམས་ནི་སྐྱེས་བུའི་མིང་ཅན་གྱི་ཕྱུགས་རྣམས་ཡིན་ནོ། ||| People who lack the wealth of speech are human in name only; otherwise they are just like animals.
།མཁས་པའི་སྐྱེ་བོ་རྣམས་ཐམས་ཅད་ཀྱིས་སྤངས་པ་དང་། བཙོག་པར་གྱུར་པ་དང་ཤིན་ཏུ་ཡང་ཐ་ཤལ་ཡིན་ནོ། ||| They are shunned by the learned. They are vulgar and utterly base.
།རྣམ་པ་དེ་ལྟ་བུ་བྱེད་པའི་ཆོས་རྣམས་ཆོས་གང་དག་གིས་རབ་ཏུ་གཞོམ་པར་བྱ། ||| “ ‘Hence, this factor that carries such consequences must be remedied by means of another factor.
དོན་མེད་པར་སྨྲ་བའི་ཆོས་དེ་ཡང་རབ་ཏུ་གཞོམ་པར་བྱའོ། ||| The factor of meaningless talk must be defeated completely.
།ཆོས་གང་དག་གིས་ཞེ་ན། ||| By means of what other factor?
འདི་ལྟ་སྟེ་ངག་བསྡམས་པས་སོ། ||| Speech that is properly restrained.
།ངག་བསྡམ་པ་ཡང་རྣམ་པ་གཉིས་ཡིན་ཏེ། འདི་ལྟ་སྟེ་གང་ཡང་ཅང་མི་སྨྲ་བའམ་སྡོམ་པ་རྣམ་པ་བཞི་དག་པའོ། ||| Such restrained speech is, moreover, of two kinds, for one may either refrain from talking altogether or otherwise observe the four vows flawlessly.
།གང་དག་ཞེ་ན། ||| What are these four vows?
འདི་ལྟ་སྟེ་རྫུན་གྱི་རང་བཞིན་དང་ཕྲ་མ་དང་ཚིག་རྩུབ་པོ་དང་འབྲེལ་པ་མེད་པར་སྨྲ་བར་བྱེད་པ་རྣམས་རྣམ་པར་སྤངས་པས་ངག་ཀུན་ནས་བསྡམ་པར་བྱའོ། ||| They consist in giving up and refraining from lying, divisive talk, harsh words, and irrelevant words.
།དེ་ལྟར་ན་ཡང་ཡང་མོར་མི་འགྱུར་རོ། ||| Thereby one will not become unimportant.
།དགེ་སློང་ངམ་གཞན་ཡང་དེའི་རིགས་ཅན་རྣམས་ཀྱང་རུང་སྟེ། རྒྱུ་དྲུག་གིས་སྐྱེས་བུ་རྣམས་སྐད་ཅིག་ལ་ཡང་མོ་དང་རྣམ་པར་ཞེ་སྡང་བར་ཡང་འགྱུར་རོ། ||| “ ‘For monks or others of a similar kind, there are six causes that will instantaneously make others think of them as unimportant and despicable.
།གང་དག་ཞེ་ན་འདི་ལྟ་སྟེ། ||| Which are the six?
དོན་མེད་པར་སྨྲ་བར་བྱེད་པས་དང་ཇི་ལྟར་རབ་ཏུ་ཞུགས་པར་བྱེད་པ་དང་ཡང་དང་ཡང་དུ་ཟས་ལ་དགའ་བ་དང་རྒན་པོའི་སྟན་ཆེན་པོ་ལ་ཉེ་བར་གནས་པ་དང་གསོང་གསལ་རྗོད་པ་དང་ལབ་ལོབ་བྱེད་པ་དང་རྒྱུ་དེ་དག་གིས། ||| Meaningless talk, thoughtless undertakings, continuous obsession with food, occupying the seats of elders, talking loudly about confidential matters, and chatter.
དེ་ལྟར་མི་རྣམས་ཐམས་ཅད་ཀྱང་དར་ཅིག་ལ་ཡང་མོར་འགྱུར་ཞིང་རབ་ཏུ་དགའ་བར་ཡང་མྱུར་བར་འགྱུར་རོ། ||| Whoever engages in those six will instantly become unimportant and their happiness will be short-lived.
།དེའི་ཕྱིར་ན་དགེ་སློང་ངམ་ཁྱིམ་པ་རྣམས་ཀྱིས་ཀྱང་ཆོས་དེ་རྣམ་པར་སྤང་བར་བྱའོ། ||| Therefore, both monks and laypeople should give up those factors. (9) Frivolity Is Remedied by Steadfastness
